"","area","age","mean","lower_ART","upper_ART","inc","lower_inc","upper_inc","level","prev","lower_prev","upper_prev","country","sex"
"3057","Isingiro","Y010_014",0.739173325707746,0.599670529548056,0.850699049843748,0,0,0,3,0.00329261846559383,0.00234522120355215,0.00464952637077659,"UGA","female"
"3058","Isingiro","Y015_019",0.801057347339965,0.684366947488362,0.893145821788696,0.00168135922465838,0.00115596836933413,0.00236737698191083,3,0.00863324848208718,0.00586073987015974,0.0122850444733567,"UGA","female"
"3059","Isingiro","Y020_024",0.771952918168951,0.650230143414367,0.868064446934533,0.00209641371447274,0.00144125177388249,0.00295197981175539,3,0.0202065959752863,0.013790640687359,0.029047470932229,"UGA","female"
"3060","Isingiro","Y025_029",0.816029228108201,0.706031344876841,0.898547389964052,0.00189501477315208,0.00130282526054839,0.00266830216196756,3,0.0346827752793403,0.0242981604278862,0.0489490976215879,"UGA","female"
"3061","Isiolo","Y010_014",0.6318720963074,0.330606432852545,0.86128439406908,0,0,0,2,0.0019618592393376,0.00110067985463322,0.00317598083126361,"KEN","female"
"3062","Isiolo","Y015_019",0.831711816774866,0.524939042712263,0.962703973770674,0.00037894850524364,0.000204518609910364,0.000653253358910956,2,0.00365082234973581,0.00212660165856406,0.00568375180740689,"KEN","female"
"3063","Isiolo","Y020_024",0.730825460164333,0.395237038830352,0.924428101242164,0.000560665053746311,0.000302584217700791,0.000966541329707743,2,0.00598410343120465,0.00353464691478178,0.00926050577942372,"KEN","female"
"3064","Isiolo","Y025_029",0.763922215570813,0.449357284733709,0.937860221087652,0.000526495803206314,0.000284144649079545,0.000907630436165634,2,0.0134188636444816,0.00795247043703234,0.0206538177241048,"KEN","female"
"3065","Isoka","Y010_014",0.753044466987626,0.542544213638068,0.908860623756805,0,0,0,2,0.00421967657004482,0.00279148592219529,0.00638586133792993,"ZMB","female"
"3066","Isoka","Y015_019",0.832043634474656,0.690606681471494,0.931255409645083,0.00194184406793178,0.0014261005514841,0.00262342781480825,2,0.00979521625728894,0.00666580176033065,0.0141089939009699,"ZMB","female"
"3067","Isoka","Y020_024",0.802166105936378,0.635204749259649,0.919265718226294,0.00294667358301703,0.00216412144663011,0.00398078345386284,2,0.0257921755991619,0.0182467420009973,0.0355501852114413,"ZMB","female"
"3068","Isoka","Y025_029",0.847976431621239,0.697252713723589,0.941863383977127,0.00268343086748771,0.00197077122222682,0.00362519986062866,2,0.0512809409938296,0.036230790756135,0.0706470400199849,"ZMB","female"
"3069","Issia","Y010_014",0.411856559015104,0.25989011059487,0.58043291228508,0,0,0,2,0.00180221946840259,0.00113197084635454,0.00265105333901154,"CIV","female"
"3070","Issia","Y015_019",0.873932200503869,0.752229543178905,0.941942275937187,0.000379153484265824,0.000258963262443212,0.000532899811504938,2,0.00401359351915997,0.00263005332249722,0.00575634629610822,"CIV","female"
